title,company,salary,link
Junior Data Scientist,ЭПАМ Системз,—,https://hh.ru/vacancy/126813281
"Junior+ Front-end (React, JS) Developer",FIN.by / Акцент-Консалт,—,https://hh.ru/vacancy/127255985
Системный администратор / IT-инженер,Kufar,—,https://hh.ru/vacancy/127188895
Project manager / Менеджер IT-проектов Middle,Каспи Софтвер,—,https://hh.ru/vacancy/127255536
Программист Python/Django,ВайсВеб,—,https://hh.ru/vacancy/127254995
Middle Backend Developer (Python),Tech Duck,—,https://hh.ru/vacancy/127121709
Golang developer,ООО Лиссом солюшенс,—,https://hh.ru/vacancy/127333370
Data Analyst,Северекс Бай,—,https://hh.ru/vacancy/126900464
Python Engineer,Мобильная аналитика,—,https://hh.ru/vacancy/127383471
Junior Python Developer,Арелаг консалт,—,https://hh.ru/vacancy/127133140
Middle DevOps Engineer,Ридотто,—,https://hh.ru/vacancy/127333336
Специалист технической поддержки L1/L2,Навексофт,—,https://hh.ru/vacancy/125109452
ML Engineer,Киберселл,—,https://hh.ru/vacancy/127284283
Senior Python developer,Белорусский народный банк,—,https://hh.ru/vacancy/127299970
QA Engineer,АКДев Групп,—,https://hh.ru/vacancy/127182080
DevOps/DevSecOps Управление информационной безопасности,МТБанк,—,https://hh.ru/vacancy/127259569
Специалист по информационной безопасности / кибербезопасности,Onliner,—,https://hh.ru/vacancy/127253316
Junior Data Scientist,А1 (Унитарное предприятие А1),—,https://hh.ru/vacancy/117558942
Senior Python Developer (with AI experience),Научсофт,—,https://hh.ru/vacancy/127353121
Junior Java Developer,Дуал Лаб Бел,—,https://hh.ru/vacancy/127173616
Менеджер по запуску AI-проектов,High Sky,3000–None USD,https://hh.ru/vacancy/126919959
Intern/Manual QA Engineer,Синтегрико/Syntegrico,—,https://hh.ru/vacancy/127175929
Data Engineer,Ридотто,—,https://hh.ru/vacancy/127265603
Junior/Middle DevOps/System Engineer,Scand,—,https://hh.ru/vacancy/127105409
Junior Software Developer/Начинающий программист,ONIX Consulting,None–1000 USD,https://hh.ru/vacancy/126879439
Junior программист Python/Django,БигДата Инжиниринг,2800–None BYR,https://hh.ru/vacancy/126746223
Automation QA Engineer,Клеркгрупп,—,https://hh.ru/vacancy/127263103
Junior Python Developer (AI tools),Эдельсофт,—,https://hh.ru/vacancy/126308118
DevOps Engineer,Up pashkevich,1000–2000 USD,https://hh.ru/vacancy/127253996
Стажер/Python-разработчик,СМД-БАЙ ГРУПП,—,https://hh.ru/vacancy/126949510
Web-аналитик,ВайденГлоуб,—,https://hh.ru/vacancy/126759909
Аналитик PowerBI,Хот Ритейл,6000–None BYR,https://hh.ru/vacancy/126097303
Специалист по тестированию на проникновение в информационные системы,Государственное предприятие НЦОТ,4000–6000 BYR,https://hh.ru/vacancy/127251037
Backend-разработчик,EMK Альянс,3000–None BYR,https://hh.ru/vacancy/126915548
"Бизнес-аналитик (проектный менеджер - приборостроение, технический сектор)",Р-НОКС,3000–None BYR,https://hh.ru/vacancy/127247579
"Backend-разработчик (Python, FastAPI)",КИПФОРЕСТ,—,https://hh.ru/vacancy/126407691
Разработчик программного обеспечения (Backend C#/.NET или Frontend Angular),РУП Витебскэнерго,2700–None BYR,https://hh.ru/vacancy/126973490
Python Engineer,Yellow,—,https://hh.ru/vacancy/127315895
QA Engineer (Mobile iOS),КейДев,—,https://hh.ru/vacancy/127178604
System Administrator (Middle),ВЭБ Технологии,—,https://hh.ru/vacancy/126793148
